,x,y,S-S22
0,-2500.0,2500.0,-0.0599264
1,-2500.0,0.0,-0.121821
2,-2500.0,-2500.0,-0.178446
3,0.0,2500.0,-0.0512566
4,0.0,-2500.0,-0.178592
5,2500.0,2500.0,-0.0591429
6,2500.0,-2500.0,-0.178036
7,2500.0,0.0,-0.120766
8,-2500.0,100.0,-0.119451
9,-2500.0,200.0,-0.117113
10,-2500.0,300.0,-0.114791
11,-2500.0,400.0,-0.112478
12,-2500.0,500.0,-0.110165
13,-2500.0,600.0,-0.107852
14,-2500.0,700.0,-0.105541
15,-2500.0,800.0,-0.103218
16,-2500.0,900.0,-0.100878
17,-2500.0,1000.0,-0.0985325
18,-2500.0,1100.0,-0.0961674
19,-2500.0,1200.0,-0.0937673
20,-2500.0,1300.0,-0.0913482
21,-2500.0,1400.0,-0.0889214
22,-2500.0,1500.0,-0.0864716
23,-2500.0,1600.0,-0.083995
24,-2500.0,1700.0,-0.0815083
25,-2500.0,1800.0,-0.0790133
26,-2500.0,1900.0,-0.0765047
27,-2500.0,2000.0,-0.0739921
28,-2500.0,2100.0,-0.0714748
29,-2500.0,2200.0,-0.0689576
30,-2500.0,2300.0,-0.0664406
31,-2500.0,2400.0,-0.0639159
32,-2500.0,-2400.0,-0.177282
33,-2500.0,-2300.0,-0.17512
34,-2500.0,-2200.0,-0.172974
35,-2500.0,-2100.0,-0.170819
36,-2500.0,-2000.0,-0.168652
37,-2500.0,-1900.0,-0.166476
38,-2500.0,-1800.0,-0.164287
39,-2500.0,-1700.0,-0.162079
40,-2500.0,-1600.0,-0.159859
41,-2500.0,-1500.0,-0.157613
42,-2500.0,-1400.0,-0.155337
43,-2500.0,-1300.0,-0.153044
44,-2500.0,-1200.0,-0.150736
45,-2500.0,-1100.0,-0.148405
46,-2500.0,-1000.0,-0.146035
47,-2500.0,-900.0,-0.143643
48,-2500.0,-800.0,-0.141244
49,-2500.0,-700.0,-0.138818
50,-2500.0,-600.0,-0.136379
51,-2500.0,-500.0,-0.133948
52,-2500.0,-400.0,-0.131508
53,-2500.0,-300.0,-0.129066
54,-2500.0,-200.0,-0.126636
55,-2500.0,-100.0,-0.124217
56,-2400.0,2500.0,-0.0580623
57,-2300.0,2500.0,-0.0580318
58,-2200.0,2500.0,-0.0579786
59,-2100.0,2500.0,-0.0578984
60,-2000.0,2500.0,-0.0577903
61,-1900.0,2500.0,-0.0576446
62,-1800.0,2500.0,-0.0574614
63,-1700.0,2500.0,-0.0572553
64,-1600.0,2500.0,-0.0570084
65,-1500.0,2500.0,-0.0567101
66,-1400.0,2500.0,-0.0563836
67,-1300.0,2500.0,-0.0560272
68,-1200.0,2500.0,-0.0556239
69,-1100.0,2500.0,-0.0551882
70,-1000.0,2500.0,-0.0547413
71,-900.0,2500.0,-0.054274
72,-800.0,2500.0,-0.0537915
73,-700.0,2500.0,-0.0533289
74,-600.0,2500.0,-0.052874
75,-500.0,2500.0,-0.0524425
76,-400.0,2500.0,-0.0520736
77,-300.0,2500.0,-0.051776
78,-200.0,2500.0,-0.0515205
79,-100.0,2500.0,-0.051366
80,-100.0,-2500.0,-0.178592
81,-200.0,-2500.0,-0.178592
82,-300.0,-2500.0,-0.178592
83,-400.0,-2500.0,-0.178592
84,-500.0,-2500.0,-0.178592
85,-600.0,-2500.0,-0.178592
86,-700.0,-2500.0,-0.178592
87,-800.0,-2500.0,-0.178592
88,-900.0,-2500.0,-0.178592
89,-1000.0,-2500.0,-0.178592
90,-1100.0,-2500.0,-0.178592
91,-1200.0,-2500.0,-0.178592
92,-1300.0,-2500.0,-0.178592
93,-1400.0,-2500.0,-0.178592
94,-1500.0,-2500.0,-0.178592
95,-1600.0,-2500.0,-0.178592
96,-1700.0,-2500.0,-0.178592
97,-1800.0,-2500.0,-0.178592
98,-1900.0,-2500.0,-0.178592
99,-2000.0,-2500.0,-0.178592
100,-2100.0,-2500.0,-0.178592
101,-2200.0,-2500.0,-0.178592
102,-2300.0,-2500.0,-0.178592
103,-2400.0,-2500.0,-0.178592
104,100.0,2500.0,-0.0512852
105,200.0,2500.0,-0.0514033
106,300.0,2500.0,-0.0515869
107,400.0,2500.0,-0.0518575
108,500.0,2500.0,-0.0521747
109,600.0,2500.0,-0.0525616
110,700.0,2500.0,-0.0530038
111,800.0,2500.0,-0.0534551
112,900.0,2500.0,-0.0539285
113,1000.0,2500.0,-0.054408
114,1100.0,2500.0,-0.0548652
